grad_rate,ECONOMICALLY_DISADVANTAGED,H_Female,AA_FEMALE,W_FEMALE,AA_MALE,W_MALE,H_MALE,AA,H,W,Expend_per_pupil,CHRONIC_ABSENT
0.99,0.21847507331378305,0.05131964809384165,0.11730205278592375,0.28152492668621704,0.1217008797653959,0.3460410557184751,0.04398826979472141,0.2390029325513197,0.09530791788856303,0.6275659824046921,11480.54,0.08800000000000001
0.94,0.11755102040816325,0.024489795918367342,0.02938775510204081,0.4040816326530613,0.028571428571428567,0.4612244897959184,0.024489795918367342,0.05795918367346939,0.048979591836734684,0.8653061224489796,10737.01,0.12290843
0.92,0.3041958041958042,0.0203962703962704,0.02097902097902098,0.4411421911421912,0.026806526806526808,0.4586247086247086,0.022727272727272728,0.04778554778554778,0.04312354312354312,0.8997668997668997,7898.91,0.19299999
0.96,0.17623762376237626,0.027722772277227727,0.0231023102310231,0.4231023102310231,0.022442244224422443,0.46402640264026396,0.027062706270627058,0.045544554455445536,0.05478547854785479,0.8871287128712871,8327.42,0.077
0.9,0.3805049911920141,0.10334703464474457,0.06811509101585438,0.2795067527891955,0.06987668819729888,0.33294186729301234,0.10745742806811508,0.13799177921315325,0.21080446271285969,0.6124486200822079,8694.17,0.14800000000000002
0.91,0.3571972581873572,0.0099009900990099,0.0007616146230007616,0.4645849200304646,0.005331302361005331,0.5026656511805027,0.007616146230007615,0.006092916984006093,0.017517136329017517,0.9672505712109672,8042.9,0.225
0.91,0.2465034965034965,0.02097902097902098,0.0034965034965034965,0.4755244755244755,0.013986013986013986,0.4667832167832168,0.013986013986013986,0.017482517482517484,0.03496503496503497,0.9423076923076924,8919.14,0.106000006
0.98,0.4431137724550898,0.03892215568862276,0.05688622754491018,0.3772455089820359,0.05988023952095808,0.4431137724550898,0.017964071856287425,0.11676646706586828,0.05688622754491018,0.8203592814371258,10906.69,0.08800000000000001
0.97,0.2572178477690289,0.023622047244094488,0.07874015748031496,0.3832020997375328,0.08923884514435695,0.3937007874015748,0.02099737532808399,0.1679790026246719,0.044619422572178484,0.7769028871391076,8808.59,0.12290843
0.92,0.381489841986456,0.01805869074492099,0.0564334085778781,0.3950338600451467,0.04740406320541761,0.4559819413092551,0.011286681715575621,0.1038374717832957,0.02934537246049661,0.8510158013544018,9223.94,0.081
0.87,0.42829076620825146,0.003929273084479371,0.001964636542239685,0.4616895874263262,0.009823182711198428,0.5049115913555993,0.011787819253438114,0.011787819253438114,0.015717092337917484,0.9666011787819252,8797.47,0.384
0.89,0.24019024970273484,0.005945303210463734,0.03210463733650416,0.4447086801426873,0.023781212841854936,0.4673008323424495,0.009512485136741971,0.0558858501783591,0.015457788347205709,0.9120095124851368,9876.13,0.17
0.91,0.2688,0.0432,0.024,0.4048,0.0192,0.4576,0.0384,0.0432,0.0816,0.8624,7742.69,0.313
0.94,0.16604477611940302,0.026119402985074626,0.011194029850746268,0.4701492537313433,0.009328358208955223,0.4421641791044776,0.024253731343283583,0.02052238805970149,0.050373134328358216,0.9123134328358208,8106.16,0.23600000000000002
0.92,0.19605077574047955,0.015514809590973204,0.008462623413258109,0.4682651622002821,0.014104372355430184,0.456981664315938,0.02679830747531735,0.02256699576868829,0.04231311706629055,0.9252468265162199,7439.4,0.192
0.96,0.24361948955916474,0.01508120649651972,0.06264501160092807,0.4176334106728538,0.06032482598607888,0.4245939675174014,0.010440835266821344,0.12296983758700696,0.025522041763341063,0.8422273781902552,8587.71,0.19899999999999998
0.95,0.2795497185741088,0.00375234521575985,0.0150093808630394,0.4878048780487805,0.0075046904315197,0.476547842401501,0.00375234521575985,0.0225140712945591,0.0075046904315197,0.9643527204502814,9503.55,0.265
0.91,0.3679245283018868,0.012129380053908356,0.009433962264150943,0.4366576819407008,0.009433962264150943,0.5080862533692723,0.008086253369272238,0.018867924528301886,0.02021563342318059,0.944743935309973,9259.17,0.225
0.98,0.3312302839116719,0.01577287066246057,0.00946372239747634,0.4921135646687697,0.00946372239747634,0.4637223974763407,0.003154574132492113,0.01892744479495268,0.01892744479495268,0.9558359621451104,9043.88,0.153
0.93,0.4132231404958678,0.012396694214876032,0.01900826446280992,0.4223140495867769,0.01900826446280992,0.503305785123967,0.00909090909090909,0.03801652892561983,0.021487603305785124,0.9256198347107438,9129.15,0.301
